tokenized_share,legacy_haircut,tokenized_haircut,legacy_buffer_ratio,tokenized_buffer_ratio,collateral_efficiency_spread,technology_risk_premium,reinvestment_return,capital_liberated,additional_usable_collateral,final_tokenized_cost_of_debt,book_wacc_change,market_wacc_change,adjusted_roe,roe_change
0.332186814566789,0.10144298156528732,0.0485130855697182,0.29855256494009186,0.2600766036302034,0.00687811175818378,0.007089117615922824,0.0628851444221563,1.2332075410070935,1.6964760506108831,0.042111005857739046,0.000101918446206134,5.32632551414336e-06,1.5201816070730707,0.0010517737555602036
0.13843408980266378,0.1030540313053794,0.07451413009375035,0.33755004810426226,0.24960218729700245,0.00611380806635415,0.0045473135906186485,0.01817909774278215,1.1747153191322788,0.38120607883000446,0.0403335055242645,-0.0007566362596193865,-3.9542312157886395e-05,1.5194194629895224,0.0002896296720118485
0.26637543610475045,0.048934415854584544,0.0,0.287382947850751,0.1891550512430674,0.003772629840649342,0.008765584195159225,0.07144968970577581,2.5246043168814225,1.2576879051372458,0.04689295435450988,0.0024116588764048486,0.00012603489047313676,1.521576257511169,0.0024464241936585918
0.3335150491221286,0.06724941909927545,0.03391336891292375,0.1874466401838289,0.1435605858977496,0.005415244766212274,0.006958097247262538,0.0774007785947368,1.4122327334376052,1.0727385280480348,0.043442852481050266,0.0007452168829757688,3.894552796977757e-05,1.5206123162373029,0.0014824829197923606
0.1977476074414456,0.09186435884488164,0.05838656828109125,0.21221013104432856,0.1705171955641361,0.004378524631129669,0.0028152747924070727,0.053585119574600826,0.7954960245120581,0.6387520810472722,0.0403367501612774,-0.0007550690597018031,-3.946040925199845e-05,1.519707956404793,0.000578123087282556
0.23114557566169924,0.15657494744809722,0.11156169234798477,0.233102329034947,0.12819894690937889,0.00602382178748401,0.004099827032241396,0.02306624831441953,2.3395879594143025,1.0038996599767387,0.04,-0.0009177235640118325,-4.796084139696566e-05,1.519861737849067,0.000731904531556582
0.30474865119249267,0.059565347705303376,0.03956993758154796,0.18125158585767093,0.08042839188247848,0.005324254282960161,0.006641323029010681,0.06245832248175743,2.964603013727668,0.5879446065574143,0.04321706874605052,0.0006361605387758262,3.324617117801687e-05,1.5216411122707851,0.0025112789532746316
0.23767473266150202,0.11962376743340511,0.10263391752702224,0.1994701125011155,0.10931384593997304,0.004355481030715662,0.005521888851849511,0.061199908593282046,2.0674891322017537,0.389616067512776,0.04306640782113385,0.00056338944352749,2.9443105533474845e-05,1.5208458918789192,0.001716058561408662
0.29041549600017724,0.11750111609211941,0.07954075805484874,0.23167151667064406,0.19889791155952952,0.004183586946161812,0.002716677382556234,0.032682291497970896,0.918350157182644,1.063688314179842,0.040433090436394425,-0.0007085355119974407,-3.702853522304095e-05,1.5195368937590257,0.0004070604415151724
0.3560209219804499,0.0727515280211477,0.059836390936694406,0.2278352616437394,0.17141182344473788,0.005309582573634475,0.005456257218730227,0.06271185672851308,1.9382034822374976,0.44364832186184344,0.042046674645095754,7.084567265655539e-05,3.7024417844228052e-06,1.5207783263815224,0.0016484930640119355
0.2992940620982163,0.09689416060160987,0.046193141368308134,0.20838539638430964,0.1763413098022622,0.002450239303878209,0.0067788748047716025,0.036950178420110995,0.9253590985312563,1.4641281576934944,0.04622863550089339,0.0020907846311516015,0.00010926578985455404,1.519593563042239,0.00046372972472852325
0.14838153371008056,0.1101462685144709,0.09253066337881248,0.2983744637632151,0.22822039896155233,0.0039051061304824124,0.003412096713183012,0.050422607449511075,1.0043775521190383,0.25219805032351417,0.041406990582700594,-0.00023812966291338056,-1.2444813931741794e-05,1.5198166809304057,0.0006868476128951695
0.20854378316601715,0.05227098870425414,0.03637069359822837,0.3435226029734174,0.23175034080973278,0.005498535669053748,0.003126959691676157,0.07753411018781792,2.2490317723019686,0.31993866984691977,0.04,-0.0009177235640118325,-4.796084139696566e-05,1.5214948079862418,0.0023649746687313122
0.3336252711897384,0.14036462648225936,0.10789655137506993,0.22628106551367702,0.18760587891986208,0.006513011982719208,0.004646210318668889,0.016189069183618426,1.2449607506380396,1.0451527896101567,0.04003319833594968,-0.0009016883560186706,-4.712283080479662e-05,1.5194031811498647,0.00027334783235422044
0.19178698724519577,0.12109073965186543,0.10225210050490384,0.3256244282957038,0.2273576706105349,0.0055973147797546835,0.00445674431820083,0.050184707256195456,1.8184026933738124,0.3486044820374019,0.04075942953844615,-0.0005509096784125367,-2.8790904741393675e-05,1.5203674881917302,0.0012376548742196736
0.2752293906738207,0.13097852421767478,0.11675630816068033,0.25068725836900363,0.2169419827214333,0.004469954096222595,0.0036388896986622827,0.011561935109283753,0.8961322169858228,0.3776820832258636,0.04106893560243968,-0.00040141441097495123,-2.09781830326633e-05,1.5192703541500023,0.00014052083249183056
0.1310208903167655,0.12227024010487969,0.10374059167803538,0.3372704201240555,0.25497491755102,0.003734349022674185,0.005727323931851334,0.0018243096823757998,1.040353542541606,0.23424591600020506,0.043892974909177145,0.0009626315982295824,5.030776501431522e-05,1.519155573854865,2.5740537354490556e-05
0.38756776397243364,0.10752248117200602,0.05838571980949171,0.19406409998681454,0.12026485021138011,0.0044535349717726045,0.008502611639799863,0.045738244190086035,2.7597128551236896,1.8374624729100333,0.045949076668027264,0.0019557542477574436,0.0001022090125681191,1.5208417454933634,0.00171191217585287
0.24204682031708616,0.0773765928328651,0.050798142965737494,0.26851430842016144,0.19901227699270724,0.002108060399401652,0.0076103353935548625,0.07169286174718134,1.623159442825294,0.6207165602420872,0.04740227499415321,0.002657667062003932,0.00013889144121952135,1.5207080811241658,0.0015782478066552752
0.14207472669958324,0.11756506009546691,0.10213627303869474,0.29428081581676796,0.2389697752712572,0.005297113173459509,0.006815956914295061,0.06149179935341256,0.7582160272923275,0.21150123940445553,0.04341884374083555,0.0007336203636929828,3.833948619000327e-05,1.519762169826493,0.0006323365089824229
